Last Name,First Name,Club
Banana,Frank,Beasts of the Bay
Orange,Oscar,Beasts of the Bay
Grapefruit,Tomas,Beasts of the Bay
Tomato,Bob,Beasts of the Bay
Pineapple,Henry,Beasts of the Bay
Raspberry,Curtis,Beasts of the Bay
Strawberry,Elsa,Beasts of the Bay
Zucchini,Anastasia,Beasts of the Bay
Broccoli,Marcy,Beasts of the Bay
Apple,Tim,Beasts of the Bay
Melon,Roger,Beasts of the Bay
Watermelon,Ruby,Beasts of the Bay
Spinach,Dana,Beasts of the Bay
Lettuce,Brian,Beasts of the Bay
Avocado,Peggy,Beasts of the Bay
Peach,Jack,Beasts of the Bay
Alfalfa,Zara,Beasts of the Bay
Mango,Emma,Beasts of the Bay
Blueberry,Noah,Beasts of the Bay
Carrot,Lucas,Beasts of the Bay
Onion,Ava,Beasts of the Bay
Potato,James,Beasts of the Bay
Cucumber,Harper,Beasts of the Bay
Kiwi,Oliver,Beasts of the Bay
Eggplant,Mia,Beasts of the Bay
Apricot,Elijah,Beasts of the Bay
Plum,Mateo,Beasts of the Bay
